Date,Close,High,Low,Open,Volume
08/11/2021,148.0154114,149.1272044,147.7399252,148.9697794,55020900
09/11/2021,148.3794098,148.9894125,147.6414975,147.7792405,56787900
10/11/2021,145.5359802,147.7103684,145.4671162,147.6021407,65187100
11/11/2021,145.4868164,147.0216719,145.2998762,146.5592606,41000000
12/11/2021,147.5726624,147.9760431,145.1031056,146.0377918,63804000
15/11/2021,147.5824738,149.4321789,147.0216531,147.9465057,59222800
16/11/2021,148.5663757,149.0484839,146.9331259,147.5234619,59256200
17/11/2021,151.0162506,152.501909,148.5565424,148.5663758,88807000
18/11/2021,155.3256378,156.1127474,150.5833285,151.2326951,137827700
19/11/2021,157.9624786,158.424905,154.0072633,155.1092078,117305600
22/11/2021,158.424881,163.0294473,158.4051991,159.0742325,117467900
23/11/2021,158.808609,159.1923229,156.4964772,158.5232744,96041900
24/11/2021,159.3300629,159.5268365,157.0671283,158.1592393,69463600
26/11/2021,154.2827606,157.8640958,153.8400161,156.9982885,76959800
29/11/2021,157.6574554,158.5921415,156.2308127,156.8014668,88748200
30/11/2021,162.6358795,162.852335,157.3425836,157.4114627,174048100
01/12/2021,162.1144562,167.5553296,161.8783188,164.7807715,152052500
02/12/2021,161.1207123,161.5536233,155.2567766,156.1816293,136739200
03/12/2021,159.2316589,162.3013848,157.1458313,161.3765322,118023100
06/12/2021,162.6556091,165.1743482,161.632362,161.6421954,107497000
07/12/2021,168.4211273,168.8146896,165.6269025,166.3549815,120405400
08/12/2021,172.2582855,173.1241076,167.948872,169.3558329,116998900
09/12/2021,171.7466583,173.9013651,171.1169736,172.0910235,108923700
10/12/2021,176.5578461,176.7349529,171.8745672,172.3861907,115402700
13/12/2021,172.9076385,179.1946516,172.7010165,178.2009199,153237000
14/12/2021,171.5203705,174.875416,169.4345428,172.4255413,139380400
15/12/2021,176.4102783,176.607052,169.5329287,172.2878049,131063300
16/12/2021,169.4837494,178.2206388,167.9980909,176.3906151,150185800
17/12/2021,168.3817596,170.6742092,166.9551321,167.1912544,195432700
20/12/2021,167.0141754,167.8308003,164.7610895,165.5678659,107499100
21/12/2021,170.2019653,170.4085724,166.394327,168.7950045,91185900
22/12/2021,172.8092651,173.0257207,169.375507,170.2511625,92135300
23/12/2021,173.4389801,173.9998009,172.4452632,173.0159174,68356600
27/12/2021,177.4236755,177.5122214,174.2162214,174.2358883,74919600
28/12/2021,176.4004364,178.4075668,175.6526905,177.2564251,79144300
29/12/2021,176.4889984,177.7188526,175.2689777,176.4398012,62348900
30/12/2021,175.3279877,177.6598011,175.2197599,176.5775236,59773000
31/12/2021,174.7081757,176.3414106,174.4031592,175.2197842,64062300
03/01/2022,179.0765839,179.9325725,174.8458979,174.9639591,104487900
04/01/2022,176.8038025,179.9915894,176.2331485,179.686588,99310400
05/01/2022,172.1008759,177.2662635,171.8253897,176.7152912,94537600
06/01/2022,169.2279358,172.4747538,168.8737372,169.9166511,96904000
07/01/2022,169.3951874,171.3334387,168.273561,170.1035846,86709100
10/01/2022,169.4148407,169.7198421,165.4596263,166.3549635,106765600
11/01/2022,172.2582855,172.3566648,168.0669482,169.5427731,76138300
12/01/2022,172.7010193,174.3244206,172.0024706,173.2815068,74805200
13/01/2022,169.4148407,173.7734358,169.0212784,172.9469776,84505800
14/01/2022,170.2806854,170.9792341,168.3325857,168.5785566,80440800
18/01/2022,167.0633698,169.7592001,166.6796559,168.7458016,90956700
19/01/2022,163.5509186,168.3227586,163.265599,167.2601629,94815000
20/01/2022,161.8586273,166.9453019,161.533944,164.2888201,91420500
21/01/2022,159.7924805,163.649301,159.6842527,161.7700804,122848900
24/01/2022,159.015213,159.6842615,152.2067424,157.4410088,162294600
25/01/2022,157.204895,160.1368635,154.4893821,156.4177853,115798400
26/01/2022,157.1163483,161.7405974,155.276491,160.8649418,108275300
27/01/2022,156.6539001,161.1994362,155.7290474,159.831839,121954600
28/01/2022,167.5848389,167.6045207,160.1761991,163.039303,179935700
31/01/2022,171.9631348,172.1795903,166.7780652,167.4175984,115541600
01/02/2022,171.7958679,172.0221569,169.5329333,171.2055319,86213900
02/02/2022,173.006012,173.0453757,170.5364706,171.9335829,84914300
03/02/2022,170.1134186,173.3996002,169.3459908,171.667956,89418100
04/02/2022,169.8277283,171.5123188,168.1431378,169.1282745,82465400
07/02/2022,169.1085815,171.3645381,168.4091278,170.2907427,77251200
08/02/2022,172.2314758,172.7437512,168.8820015,169.1775456,74829200
09/02/2022,173.6599274,174.0244232,172.3004337,173.4333501,71285000
10/02/2022,169.5617523,172.8718128,169.0002321,171.551733,90865900
11/02/2022,166.1334839,170.5074941,165.5423957,169.7686414,98670700
14/02/2022,166.3699341,167.0595269,164.0844091,164.8823677,86185500
15/02/2022,170.221756,170.3793815,167.7195155,168.4288151,62527400
16/02/2022,169.9853363,170.7635877,167.5224946,169.2957436,61177400
17/02/2022,166.3699341,169.3548979,165.9660243,168.4879725,69589300
18/02/2022,164.8133698,168.005203,163.7198674,167.2959184,82772700
22/02/2022,161.8777008,164.2124704,159.7399405,162.5278797,91162800
23/02/2022,157.6908569,163.6804755,157.3756059,163.0795415,90009200
24/02/2022,160.3211823,160.4295479,149.7408067,150.3121879,141147500
25/02/2022,162.3997955,162.6657716,158.4789405,161.4047978,91974200
28/02/2022,162.665802,162.9613461,160.0157813,160.6364224,95056600
01/03/2022,160.7743073,164.1237811,159.5625933,162.2520123,83474400
02/03/2022,164.0843811,164.8724935,160.5280367,161.9466361,79724800
03/03/2022,163.7592926,166.3994671,163.0894068,165.9660045,76678400
04/03/2022,160.7447815,163.0894121,159.6906929,162.0451694,83737200
07/03/2022,156.9322815,162.5672647,156.6761363,160.9319341,96418800
08/03/2022,155.0999146,160.4590603,153.4842911,156.4594079,131148300
09/03/2022,160.5280457,160.9812152,157.0406678,159.0798933,91454900
10/03/2022,156.1638794,158.0060803,153.6616237,157.8189019,105342000
11/03/2022,152.4302368,156.912613,152.2036595,156.567809,96970100
14/03/2022,148.3812866,151.8292651,147.8690264,149.1989519,108732100
15/03/2022,152.7848663,153.2577428,148.1448803,148.6571406,92964300
16/03/2022,157.2179871,157.6218968,152.1642452,154.7157461,102300200
17/03/2022,158.2326813,158.6070381,155.2871316,156.2525616,75615400
18/03/2022,161.5427094,162.0352777,157.3854313,158.1242839,123511700
21/03/2022,162.921936,163.87752,160.5871515,161.0797199,95811400
22/03/2022,166.310791,166.901864,162.4589028,163.0499758,81532000
23/03/2022,167.68013,170.0740051,165.1581673,165.4931253,98062700
24/03/2022,171.4827728,171.5517246,167.6801441,168.5175014,90131400
25/03/2022,172.1231232,172.6747974,170.1824022,171.2956118,80546200
28/03/2022,172.990036,173.1180936,169.4435374,169.6110088,90371900
29/03/2022,176.3000946,176.3493394,173.7190259,174.0638298,100589400
30/03/2022,175.1277466,176.9403944,174.0736432,175.896152,92633200
31/03/2022,172.01474,175.3839061,171.8078546,175.1967277,103049300
01/04/2022,171.7192078,172.280743,169.3844382,171.4433706,78751300
04/04/2022,175.7878113,175.8370711,171.8472641,171.9753367,76468400
05/04/2022,172.4580688,175.6499179,171.8275818,174.8618054,73401800
06/04/2022,169.2760315,171.0492805,167.6013022,169.7981527,89058800
07/04/2022,169.5814514,170.7833195,167.3254947,168.6160215,77594700
08/04/2022,167.5619202,169.2268038,166.685149,169.2268038,76575500
11/04/2022,163.2864227,166.5176702,163.0401385,166.2024342,72246700
12/04/2022,165.168045,167.345189,164.1632013,165.5226949,79265200
13/04/2022,167.8672943,168.4977812,164.2912582,164.9020381,70618900
14/04/2022,162.8332367,168.7243649,162.5869525,168.0840171,75329400
18/04/2022,162.6165314,164.1237894,161.1388262,161.4836151,69023900
19/04/2022,164.9118958,165.3256664,161.4737779,162.5672804,67723800
20/04/2022,164.7444305,166.3699154,163.6312361,166.2516887,67929800
21/04/2022,163.9464417,168.9804906,163.4440274,166.3994374,87227800
22/04/2022,159.3852844,165.3749183,159.0996014,163.9858867,84882400
25/04/2022,160.4590759,160.744759,156.1047734,158.7252257,96046400
26/04/2022,154.4694519,159.9271031,154.3906392,159.8384444,95623200
27/04/2022,154.2428894,157.4150163,153.0705741,153.5926955,88063200
28/04/2022,161.2077637,162.0746887,156.5677634,156.8830143,130216800
29/04/2022,155.306839,163.7297632,154.9127902,159.4345653,131747600
